"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Nome da campanha",Alcance,Frequência,Impressões,"Cliques no link","CPM (custo por 1.000 impressões)","CTR (taxa de cliques no link)","Valor gasto (BRL)","Início dos relatórios","Término dos relatórios"
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-28,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,974825,1.0851845202985,1057865,1043,2.33266059,0.098594811247182,2467.64,2021-09-28,2021-09-28
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-28,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,5367,1.1395565492827,6116,105,14.77763244,1.7168083714846,90.38,2021-09-28,2021-09-28
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-28,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,218042,1.0851349739958,236605,1421,9.39447603,0.60057902411192,2222.78,2021-09-28,2021-09-28
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-28,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,144638,1.3242232331752,191533,1026,14.61570591,0.53567792495288,2799.39,2021-09-28,2021-09-28
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-28,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,53277,1.0760177937947,57327,86,13.70087393,0.15001657159803,785.43,2021-09-28,2021-09-28
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-27,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,479725,1.0791766116004,517708,370,1.25495453,0.07146885889343,649.7,2021-09-27,2021-09-27
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-27,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,4639,1.1616727743048,5389,80,15.60771943,1.4845054741139,84.11,2021-09-27,2021-09-27
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-27,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1041110,1.1326660967621,1179230,1111,2.14300857,0.094214021013712,2527.1,2021-09-27,2021-09-27
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-27,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,624743,1.018663674503,636403,665,2.20541072,0.1044935363284,1403.53,2021-09-27,2021-09-27
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-27,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,158487,1.0779874690038,170847,905,8.5500477,0.52971372046334,1460.75,2021-09-27,2021-09-27
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-27,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,64059,1.0638005588598,68146,64,9.08901476,0.093916003874035,619.38,2021-09-27,2021-09-27
rec_topo_int_regioes_casquinha,2021-09-27,inactive,campaign,rec_topo_int_regioes_casquinha,55869,1.0979434033185,61341,62,2.2568918,0.10107432223146,138.44,2021-09-27,2021-09-27
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-27,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,138874,1.3712429972493,190430,991,14.45103188,0.52040119729034,2751.91,2021-09-27,2021-09-27
conv_lp_semana_do_gelato,2021-09-27,inactive,campaign,conv_lp_semana_do_gelato,0,0,0,,,,0,2021-09-27,2021-09-27
conv_lp_semana_do_gelato,2021-09-26,inactive,campaign,conv_lp_semana_do_gelato,370300,1.1804725897921,437129,4031,13.97427304,0.92215341466707,6108.56,2021-09-26,2021-09-26
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-26,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1071092,1.123111740168,1202956,1170,2.11465756,0.09726041517728,2543.84,2021-09-26,2021-09-26
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-26,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,865651,1.0388228050334,899258,607,1.22645559,0.067500094522373,1102.9,2021-09-26,2021-09-26
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-26,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,108766,1.0101686188699,109872,110,6.18228484,0.10011649919907,679.26,2021-09-26,2021-09-26
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-26,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,636535,1.052460587399,669928,683,2.10530087,0.10195125446317,1410.4,2021-09-26,2021-09-26
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-26,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,216700,1.065145362252,230817,1376,9.03230698,0.59614326501081,2084.81,2021-09-26,2021-09-26
rec_topo_int_regioes_casquinha,2021-09-26,inactive,campaign,rec_topo_int_regioes_casquinha,90943,1.073485589875,97626,94,2.25902936,0.096285825497306,220.54,2021-09-26,2021-09-26
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-26,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,8717,1.094757370655,9543,192,25.64497537,2.0119459289532,244.73,2021-09-26,2021-09-26
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-26,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,141726,1.3880657042462,196725,1150,15.03713305,0.58457237260135,2958.18,2021-09-26,2021-09-26
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-25,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,140023,1.3826299965006,193600,1321,17.46363636,0.6823347107438,3380.96,2021-09-25,2021-09-25
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-25,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,5642,1.071783055654,6047,78,24.01025302,1.2898958161072,145.19,2021-09-25,2021-09-25
conv_lp_semana_do_gelato,2021-09-25,inactive,campaign,conv_lp_semana_do_gelato,368942,1.1801638197874,435412,4584,15.33790984,1.0527959725501,6678.31,2021-09-25,2021-09-25
rec_topo_int_regioes_casquinha,2021-09-25,inactive,campaign,rec_topo_int_regioes_casquinha,82282,1.0930337133273,89937,116,2.53666455,0.12897917431091,228.14,2021-09-25,2021-09-25
