# ----------------------------------------
# Todos os dados do website
# Google Relatório
# 20210901-20210930
# ----------------------------------------

Campanha,Data,Sessões,/delivery - Soma 'Peça Agora'(14) e 'Veja o Cardápio Completo'(12) (Conclusões da meta 13),Usuários
Rac_Video_Action,20210924,23,0,21
Rac_DSA,20210908,22,2,22
Rac_Video_Action,20210926,22,0,21
(not set),20210904,21,5,21
Rac_DSA,20210904,21,1,18
Rac_DSA,20210906,21,1,20
Rac_Video_Action,20210918,21,0,18
(not set),20210928,20,0,22
Rac_DSA,20210916,20,1,20
Rac_Video_Action,20210927,20,0,18
(not set),20210901,19,1,27
(not set),20210908,19,1,18
Rac_Video_Action,20210925,19,0,18
Rac_Video_Action,20210928,19,0,17
Rac_DSA,20210907,18,0,18
Rac_Video_Action,20210919,18,0,16
Rac_DSA,20210901,17,1,16
Rac_DSA,20210903,17,2,17
Rac_DSA,20210909,17,0,17
Rac_Video_Action,20210921,17,0,16
(not set),20210929,16,0,18
Rac_DSA,20210918,16,2,16
(not set),20210910,15,3,15
Rac_DSA,20210910,15,2,14
(not set),20210909,14,2,14
Rac_Discovery_Principales_1,20210921,13,0,6
Rac_DSA,20210902,13,0,13
Rac_DSA,20210913,13,1,13
Rac_DSA,20210915,13,1,12
Rac_DSA,20210917,13,1,13
(not set),20210906,12,4,12
(not set),20210913,12,2,12
Rac_Video_Action,20210930,12,0,11
Rac_DSA,20210911,10,0,10
rac_trueview_for_reach_semana_gelato,20210928,10,0,9
rac_trueview_for_reach_semana_gelato,20210929,10,0,6
Rac_Discovery_Principales_1,20210923,6,0,3
Rac_Discovery_Principales_1,20210922,5,0,4
Rac_Bumper_Transição,20210901,4,0,4
Rac_Bumper_Transição,20210903,4,0,4
rac_trueview_for_reach_semana_gelato,20210930,4,0,4
Rac_Bumper_Transição,20210902,3,0,3
Rac_Bumper_Transição,20210917,3,0,3
Rac_Discovery_Principales_1,20210924,3,0,2
Rac_Discovery_Principales_1,20210926,3,0,3
Rac_Discovery_Principales_1,20210930,3,0,3
Rac_Bumper_Transição,20210904,2,0,2
Rac_Bumper_Transição,20210907,2,0,2
Rac_Bumper_Transição,20210908,2,0,2
Rac_Discovery_Principales_1,20210925,2,0,1
Rac_Discovery_Principales_1,20210927,2,1,2
Rac_Discovery_Principales_1,20210929,2,0,2
Rac_Bumper_Topo_Vegano_ES_2021,20210905,1,0,1
Rac_Bumper_Topo_Vegano_PE_2021,20210902,1,0,1
Rac_Bumper_Topo_Vegano_PE_2021,20210912,1,0,1
Rac_Bumper_Topo_Vegano_PE_2021,20210920,1,0,1
Rac_Bumper_Topo_Veganos_CE_2021,20210919,1,0,1
Rac_Bumper_Topo_Veganos_GO_2021,20210922,1,0,1
Rac_Bumper_Topo_Veganos_GO_2021,20210928,1,0,1
Rac_Bumper_Topo_Veganos_MG_2021,20210908,1,0,1
Rac_Bumper_Topo_Veganos_RJ_2021,20210925,1,0,1
Rac_Bumper_Transição,20210905,1,0,1
Rac_Bumper_Transição,20210906,1,0,1
Rac_Bumper_Transição,20210909,1,0,1
Rac_Bumper_Transição,20210913,1,0,1
Rac_Bumper_Transição,20210916,1,1,1
Rac_Bumper_Transição,20210918,1,0,1
Rac_Bumper_Transição,20210919,1,0,1
Rac_Bumper_Transição,20210921,1,0,1
Rac_Bumper_Transição,20210923,1,0,1
Rac_Bumper_Transição,20210925,1,0,1
Rac_Bumper_Transição,20210930,1,0,1
Rac_Discovery_Principales_1,20210928,1,0,1
Rac_DSA,20210920,1,0,1
Rac_Search_Café_e_Bolo,20210903,1,0,1
Rac_Search_Café_e_Bolo,20210913,1,0,1
,,41.327,7.147,36.682

Índice do dia,Sessões
01/09/2021,981
02/09/2021,1.171
03/09/2021,983
04/09/2021,1.387
05/09/2021,1.772
06/09/2021,1.258
07/09/2021,1.679
08/09/2021,1.199
09/09/2021,1.130
10/09/2021,1.086
11/09/2021,1.560
12/09/2021,2.179
13/09/2021,1.087
14/09/2021,1.464
15/09/2021,1.100
16/09/2021,1.258
17/09/2021,1.289
18/09/2021,1.208
19/09/2021,1.811
20/09/2021,1.462
21/09/2021,1.765
22/09/2021,1.863
23/09/2021,1.836
24/09/2021,1.844
25/09/2021,1.733
26/09/2021,1.456
27/09/2021,918
28/09/2021,962
29/09/2021,887
30/09/2021,999
,41.327
