Acompanhamento Diário - 2021
1 de Setembro de 2021 - 30 de Setembro de 2021
Dia,Campanha,Código da moeda,Custo,Impr.,Cliques,CPC médio,CPM médio,CTR
2021-09-22,rac_trueview_for_reach_semana_gelato,BRL,"2132,02",323.023,839,"2,54","6,60","0,26"
2021-09-23,Rac_Search_Delivery,BRL,"179,57",3.382,278,"0,65","53,10","8,22"
2021-09-23,Rac_Search_Institucional,BRL,"401,00",3.792,899,"0,45","105,75","23,71"
2021-09-23,Rac_Discovery_Principales,BRL,"138,86",17.953,639,"0,22","7,73","3,56"
2021-09-23,rac_trueview_for_reach_semana_gelato,BRL,"2132,39",322.740,676,"3,15","6,61","0,21"
2021-09-24,Rac_Search_Delivery,BRL,"151,71",2.739,227,"0,67","55,39","8,29"
2021-09-24,Rac_Search_Institucional,BRL,"454,03",3.807,876,"0,52","119,26","23,01"
2021-09-24,Rac_Discovery_Principales,BRL,"236,09",28.023,885,"0,27","8,42","3,16"
2021-09-24,rac_trueview_for_reach_semana_gelato,BRL,"2057,42",313.960,728,"2,83","6,55","0,23"
2021-09-25,Rac_Search_Delivery,BRL,"219,49",3.895,334,"0,66","56,35","8,58"
2021-09-25,Rac_Search_Institucional,BRL,"656,54",4.546,1.004,"0,65","144,42","22,09"
2021-09-25,Rac_Discovery_Principales,BRL,"139,73",14.130,405,"0,35","9,89","2,87"
2021-09-25,rac_trueview_for_reach_semana_gelato,BRL,"2122,43",326.634,700,"3,03","6,50","0,21"
2021-09-26,Rac_Search_Delivery,BRL,"236,94",4.172,385,"0,62","56,79","9,23"
2021-09-26,Rac_Search_Institucional,BRL,"654,19",3.136,831,"0,79","208,61","26,50"
2021-09-26,Rac_Discovery_Principales,BRL,"33,45",3.864,113,"0,30","8,66","2,92"
2021-09-26,rac_trueview_for_reach_semana_gelato,BRL,"2080,77",318.398,680,"3,06","6,54","0,21"
2021-09-27,Rac_Search_Delivery,BRL,"138,94",2.997,251,"0,55","46,36","8,38"
2021-09-27,Rac_Search_Institucional,BRL,"437,46",2.619,492,"0,89","167,03","18,79"
2021-09-27,Rac_Discovery_Principales,BRL,"59,69",5.834,146,"0,41","10,23","2,50"
2021-09-28,Rac_Search_Delivery,BRL,"178,84",3.664,311,"0,58","48,81","8,49"
2021-09-28,Rac_Search_Institucional,BRL,"429,68",2.768,606,"0,71","155,23","21,89"
2021-09-28,Rac_Discovery_Principales,BRL,"59,99",5.854,159,"0,38","10,25","2,72"
2021-09-29,Rac_Search_Delivery,BRL,"167,00",3.559,236,"0,71","46,92","6,63"
2021-09-29,Rac_Search_Institucional,BRL,"408,28",2.844,624,"0,65","143,56","21,94"
2021-09-29,Rac_Discovery_Principales,BRL,"17,00",2.436,54,"0,31","6,98","2,22"
2021-09-30,Rac_Search_Delivery,BRL,"183,85",3.612,257,"0,72","50,90","7,12"
2021-09-30,Rac_Search_Institucional,BRL,"423,80",2.709,564,"0,75","156,44","20,82"
2021-09-30,Rac_Discovery_Principales,BRL,"162,02",11.499,355,"0,46","14,09","3,09"
