Dia
1 de Março de 2021 - 31 de Outubro de 2021
Campanha,Dia,Código da moeda,Impr.,Cliques,CPM médio,CPC médio,CTR,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Custo
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-01,BRL,4.482,264,"123,26","2,09","5,89%","48,00",0,"11,51","18,18%","552,47"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-03,BRL,5.365,402,"103,74","1,38","7,49%","118,00",0,"4,72","29,35%","556,58"
rac_trueview_for_reach_semana_gelato,2021-09-21,BRL,328.143,789,"6,73","2,80","0,24%","15,12",0,"145,96","0,01%","2206,98"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-17,BRL,3.740,274,"70,27","0,96","7,33%","105,69",0,"2,49","38,57%","262,81"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-03,BRL,1.219,168,"234,18","1,70","13,78%","47,00",0,"6,07","27,98%","285,46"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-04,BRL,352,30,"294,38","3,45","8,52%","27,00",0,"3,84","90,00%","103,62"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-26,BRL,590,76,"162,61","1,26","12,88%","39,00",0,"2,46","51,32%","95,94"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-02,BRL,1.684,160,"213,21","2,24","9,50%","0,00",0, --,"0,00%","359,05"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-08,BRL,1.663,147,"209,40","2,37","8,84%","31,00",0,"11,23","21,09%","348,23"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-14,BRL,3.896,484,"334,02","2,69","12,42%","147,00",0,"8,85","30,37%","1301,36"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-29,BRL,1.198,94,"57,78","0,74","7,85%","36,00",0,"1,92","38,30%","69,22"
