DATA (Data),Faturamento Total,Faturamento Ifood,Faturamento Rappi
27 de abr. de 2021,254057.86000000013,55267.10000000001,0
28 de abr. de 2021,580895.4,123513.4,0
29 de abr. de 2021,277583.7500000001,58593.20000000002,0
30 de abr. de 2021,406041.1499999996,93132.5,0
1 de mai. de 2021,875886.2800000005,212681.5,0
2 de mai. de 2021,860607.62,291958.1,0
3 de mai. de 2021,279927.01999999984,51259.80000000002,0
4 de mai. de 2021,328274.49999999977,64625.10000000001,0
5 de mai. de 2021,345268.2199999999,61909.80000000001,0
6 de mai. de 2021,402800.4399999999,76323.09999999996,0
7 de mai. de 2021,422419.1900000003,82597.3,0
8 de mai. de 2021,956877.8799999999,194247.7,0
9 de mai. de 2021,870009.3900000004,386886.8999999999,0
10 de mai. de 2021,260073.58000000005,39370.30000000002,0
11 de mai. de 2021,307585.77999999997,50278.50000000002,0
12 de mai. de 2021,254365.04000000004,44341.29999999999,0
13 de mai. de 2021,264418.27999999997,43745.90000000001,0
14 de mai. de 2021,411817.55,79160.5,0
15 de mai. de 2021,843937.8699999999,166003.5,0
16 de mai. de 2021,799764.5000000001,237657.69999999992,0
17 de mai. de 2021,263826.3999999998,38544.80000000002,0
18 de mai. de 2021,275690.27,45206.3,0
19 de mai. de 2021,327352.85000000003,55114.90000000003,0
20 de mai. de 2021,350952.0299999998,62791.80000000002,0
21 de mai. de 2021,497991.00999999995,103110.59999999998,0
22 de mai. de 2021,785898.5399999996,188423.29999999996,0
23 de mai. de 2021,746525.97,240463.99999999997,0
24 de mai. de 2021,258404.94999999995,44478.50000000003,0
25 de mai. de 2021,287097.6,50509.100000000006,0
26 de mai. de 2021,309574.3199999999,53076.40000000002,0
27 de mai. de 2021,335514.31999999983,63154.90000000001,0
28 de mai. de 2021,512296.63,119170.99999999999,0
29 de mai. de 2021,936129.5599999996,260765.3999999999,0
30 de mai. de 2021,736833.0599999997,264285.1,0
31 de mai. de 2021,256633.35000000003,50485.150000000016,0
1 de jun. de 2021,322128.86,58683.80000000002,0
2 de jun. de 2021,407914.01999999996,89696.49999999999,0
3 de jun. de 2021,797499.5399999999,186722.3,0
4 de jun. de 2021,622770.71,120123.5,0
5 de jun. de 2021,947528.9600000005,221438.79999999996,0
6 de jun. de 2021,856690.2100000001,273478,0
7 de jun. de 2021,256269.23,43696.70000000001,0
8 de jun. de 2021,283292.1099999999,50088.30000000002,0
9 de jun. de 2021,362684.75999999983,54459.20000000002,0
10 de jun. de 2021,338419.77,48312.70000000002,0
11 de jun. de 2021,459282.2600000002,81972.00000000003,0
12 de jun. de 2021,1037689.9599999997,249831.1,0
13 de jun. de 2021,767019.6199999999,201896,0
14 de jun. de 2021,266997.92,36060.20000000001,0
15 de jun. de 2021,310697.52,54504.60000000002,0
16 de jun. de 2021,297249.3099999998,47998.900000000016,0
17 de jun. de 2021,293836.92000000004,42387.30000000002,0
18 de jun. de 2021,435296.30999999994,80964.11,0
19 de jun. de 2021,801429.9199999999,152025.8,0
20 de jun. de 2021,834655.0200000005,226758.49999999997,0
21 de jun. de 2021,261276.8399999999,37907.100000000006,0
22 de jun. de 2021,265071.13,42836.7,0
23 de jun. de 2021,281332.7199999999,42716.40000000001,0
24 de jun. de 2021,368232.31,52279.00000000003,0
25 de jun. de 2021,486033.02999999997,84733.69999999998,0
26 de jun. de 2021,977737.8299999996,188380.30000000002,0
27 de jun. de 2021,964832.8299999998,267440.69999999995,0
28 de jun. de 2021,295133.6199999999,40976.300000000025,0
29 de jun. de 2021,237097.6,31028.5,0
30 de jun. de 2021,264940.98999999993,33635.7,0
1 de jul. de 2021,335761.58999999997,39742.30000000001,0
2 de jul. de 2021,478534.2600000002,69851.71,0
3 de jul. de 2021,893682.01,152702.6,0
4 de jul. de 2021,811735.9700000004,194077.79999999996,0
5 de jul. de 2021,325497.8700000002,37496.10000000001,0
6 de jul. de 2021,347349.83999999997,41059.500000000015,0
7 de jul. de 2021,374366.9800000001,43871.20000000001,0
8 de jul. de 2021,445531.3400000001,59808.1,0
9 de jul. de 2021,761983.4399999992,111157.20000000001,0
10 de jul. de 2021,935242.65,154523.79999999996,0
11 de jul. de 2021,903683.2700000003,223451.39999999997,0
12 de jul. de 2021,390695.7100000001,47264.37000000001,0
13 de jul. de 2021,430141.9199999998,51192.30000000001,0
14 de jul. de 2021,466979.91999999987,58444.30000000001,0
15 de jul. de 2021,516222.1300000001,65139.400000000016,0
16 de jul. de 2021,570478.7600000001,89501.89999999998,0
17 de jul. de 2021,979512.2999999999,165061.8,0
18 de jul. de 2021,962008.21,221455.39999999997,0
19 de jul. de 2021,722806.8199999998,74822.02000000003,0
20 de jul. de 2021,1486958.5600000003,147571.99999999997,0
21 de jul. de 2021,407718.02999999997,39286.00000000001,0
22 de jul. de 2021,439917.6699999999,43806.30000000002,0
23 de jul. de 2021,554918.2899999999,69557,0
24 de jul. de 2021,971147.9700000002,154779.20999999996,0
25 de jul. de 2021,970072.3,226875.50000000003,0
26 de jul. de 2021,428392.8099999999,45806.000000000015,0
27 de jul. de 2021,459270.9199999999,49679.00000000001,0
28 de jul. de 2021,298983.05,30384.400000000005,0
29 de jul. de 2021,322393.13,35679.840000000004,0
30 de jul. de 2021,407494.36999999994,45137.10000000001,0
31 de jul. de 2021,791293.7800000001,102331.89999999998,0
1 de ago. de 2021,810878.1600000003,151526.79999999996,0
2 de ago. de 2021,310801.16,31519.600000000013,0
3 de ago. de 2021,286408.83999999997,30985.100000000006,0
4 de ago. de 2021,319227.18999999994,21762.900000000005,0
5 de ago. de 2021,375789.1700000001,15272.3,0
6 de ago. de 2021,571259.1799999998,25102.399999999998,0
7 de ago. de 2021,1051389.4399999997,64245.20000000001,0
8 de ago. de 2021,963533.2199999999,114471.2,0
9 de ago. de 2021,336472.2899999999,13111.699999999997,0
10 de ago. de 2021,400217.04000000015,19863.3,0
11 de ago. de 2021,336462.3800000001,17915,0
12 de ago. de 2021,330204.6000000001,12027.900000000001,0
13 de ago. de 2021,436126.20000000007,22807.300000000003,0
14 de ago. de 2021,956668.8899999997,56531.90000000001,0
15 de ago. de 2021,1014892.9799999999,86312.8,0
16 de ago. de 2021,294181.29000000015,13188.399999999998,0
17 de ago. de 2021,400557.78000000014,17102.100000000002,0
18 de ago. de 2021,460686.36000000004,18737.6,0
19 de ago. de 2021,502754.53,18384.6,0
20 de ago. de 2021,672085.0100000001,32495.600000000002,0
21 de ago. de 2021,1160131.64,70344.89999999998,0
22 de ago. de 2021,1121960.9199999997,98234.9,0
23 de ago. de 2021,402804.87,15920.399999999996,0
24 de ago. de 2021,434270.62999999995,19599.6,0
25 de ago. de 2021,507949.9699999996,21796.6,0
26 de ago. de 2021,519867.9500000001,22176.900000000005,0
27 de ago. de 2021,500115.36999999976,26941.4,0
28 de ago. de 2021,939375.2900000002,57901.30000000002,0
29 de ago. de 2021,917820.9999999999,84357.7,0
30 de ago. de 2021,327125.2500000001,11610.199999999999,0
31 de ago. de 2021,410276.69999999995,17262,0
1 de set. de 2021,446880.14999999973,15395.499999999996,0
2 de set. de 2021,495261.71,17499.1,0
3 de set. de 2021,699783.2699999998,30406.200000000004,0
4 de set. de 2021,1140939.98,64573.60000000001,0
5 de set. de 2021,1137429.3,82490.29999999999,0
6 de set. de 2021,825125.3000000002,29774.6,0
7 de set. de 2021,1047161.0000000003,84394.8,0
8 de set. de 2021,381315.0699999998,12000.8,0
9 de set. de 2021,393938.4199999999,19690.100000000002,0
10 de set. de 2021,566876.25,31112.1,0
11 de set. de 2021,1187799.71,68636.1,0
12 de set. de 2021,1195119.8600000003,99903.09999999998,0
13 de set. de 2021,439545.3499999999,16149.499999999998,0
14 de set. de 2021,469600.66999999975,20425.400000000005,0
15 de set. de 2021,384463.95999999996,17603.1,0
16 de set. de 2021,401029.09,19405,0
17 de set. de 2021,597481.63,28024.3,0
18 de set. de 2021,1248857.33,64754.000000000015,0
19 de set. de 2021,1208268.2599999998,92984.3,0
20 de set. de 2021,501139.9199999999,21484.6,0
21 de set. de 2021,413758.72,22248,0
22 de set. de 2021,358908.99999999994,15332.3,0
23 de set. de 2021,470941.3300000001,23699.199999999997,0
24 de set. de 2021,661508.2799999999,30073,0
25 de set. de 2021,1058489.21,65114.4,0
26 de set. de 2021,1193315.8999999994,90047.9,0
27 de set. de 2021,459806.90999999986,15636.199999999999,0
28 de set. de 2021,515429.0999999998,21646.199999999993,0
29 de set. de 2021,471204.31999999983,18677.6,0
30 de set. de 2021,508691.34999999974,20817.600000000002,0
1 de out. de 2021,603035.4099999997,28768.700000000008,80006.6
2 de out. de 2021,1217603.2900000005,54399.90000000001,132980.1
3 de out. de 2021,778522.4400000002,69424.79999999999,142894.3
4 de out. de 2021,0,0,46421.8
5 de out. de 2021,0,0,38468.5
6 de out. de 2021,0,0,48131.5
7 de out. de 2021,405341.0099999997,14295.199999999997,28418.3
8 de out. de 2021,671816.9,25642,79094.5
9 de out. de 2021,1009849.8799999997,47389.20000000001,109256.8
10 de out. de 2021,944978.16,61122.3,106167.8
11 de out. de 2021,829812.3899999995,22322.299999999996,64199.9
12 de out. de 2021,1240008.0300000003,75670.3,151303.4
13 de out. de 2021,440960.45999999985,15951.399999999998,50347.5
14 de out. de 2021,484833.7099999999,15233.4,56863.1
15 de out. de 2021,708917.0100000004,23285.9,88336.1
16 de out. de 2021,1092433.5299999996,55194.30000000001,111993.1
17 de out. de 2021,954526.9799999999,70071.5,116809.7
18 de out. de 2021,290788.5899999999,13453.999999999996,20862.6
19 de out. de 2021,293807.48000000004,11071.1,10656.3
20 de out. de 2021,332256.31999999995,8330.999999999998,11045.3
21 de out. de 2021,424611.4099999997,12505,17530.6
22 de out. de 2021,675316.33,21269,38219.1
23 de out. de 2021,1301002.4,59228.899999999994,83949.9
24 de out. de 2021,944790.6799999999,73250.2,82542.3
25 de out. de 2021,342183.7800000001,12839.399999999998,13662
26 de out. de 2021,455164.7299999998,14543.899999999996,72354
27 de out. de 2021,451364.46999999974,14574.299999999997,64175.2
28 de out. de 2021,504187.13999999984,19011.899999999998,62531
29 de out. de 2021,678384.3599999998,23381.7,63521
30 de out. de 2021,1160452.5199999998,49741.99999999999,108635.9
31 de out. de 2021,972095.6400000004,59351.6,111988.1
