,Faturamento Total
2021-01-01,6584.239999999999
2021-01-02,467560.9799999999
2021-01-03,450545.78
2021-01-04,452314.95
2021-01-05,491909.6100000001
2021-01-06,500579.54999999993
2021-01-07,543620.0399999998
2021-01-08,594891.9699999999
2021-01-09,938047.6
2021-01-10,801503.11
2021-01-11,412331.13
2021-01-12,414428.69
2021-01-13,454715.28000000014
2021-01-14,423537.3900000001
2021-01-15,478046.53
2021-01-16,975752.4700000002
2021-01-17,956866.63
2021-01-18,409346.1599999998
2021-01-19,406312.89
2021-01-20,477005.4099999999
2021-01-21,425445.5999999999
2021-01-22,533852.9299999999
2021-01-23,866109.4500000002
2021-01-24,809696.1599999996
2021-01-25,578844.4700000001
2021-01-26,351257.61999999994
2021-01-27,462214.4400000002
2021-01-28,479886.19
2021-01-29,670971.2300000002
2021-01-30,827403.5599999999
2021-01-31,778041.2800000001
2021-02-01,363317.0799999999
2021-02-02,402035.22
2021-02-03,455161.4199999998
2021-02-04,509389.0000000001
2021-02-05,506681.2
2021-02-06,1010964.5
2021-02-07,885556.4200000002
2021-02-08,327452.7899999999
2021-02-09,361870.82
2021-02-10,381601.54
2021-02-11,349736.19
2021-02-12,490661.0999999999
2021-02-13,806442.2699999999
2021-02-14,872379.0099999998
2021-02-15,637358.7300000002
2021-02-16,623067.9599999998
2021-02-17,386599.96
2021-02-18,417159.8700000001
2021-02-19,540693.8799999999
2021-02-20,1026552.28
2021-02-21,941424.16
2021-02-22,329337.41000000003
2021-02-23,398945.48999999993
2021-02-24,333960.2799999999
2021-02-25,346771.8800000001
2021-02-26,453740.5399999999
2021-02-27,870523.3700000001
2021-02-28,815689.9900000001
2021-03-01,268153.53
2021-03-02,320842.06999999995
2021-03-03,335384.8700000001
2021-03-04,358509.30999999994
2021-03-05,436681.2
2021-03-06,471384.5500000001
2021-03-07,475207.85
2021-03-08,162861.3
2021-03-09,159018.19999999998
2021-03-10,172415.46000000002
2021-03-11,184711.96
2021-03-12,311618.9699999999
2021-03-13,572486.8300000001
2021-03-14,578185.2000000001
2021-03-15,134816.22999999998
2021-03-16,162315.96999999997
2021-03-17,363511.4799999999
