,Unnamed: 0,Faturamento Total,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Resultados,CustoResult,Custo
120,2021-05-01,875886.2800000005,,,,,,,,,,
121,2021-05-02,860607.62,,,,,,,,,,
122,2021-05-03,279927.01999999984,,,,,,,,,,
123,2021-05-04,328274.49999999977,,,,,,,,,,
124,2021-05-05,345268.2199999999,,,,,,,,,,
125,2021-05-06,402800.4399999999,,,,,,,,,,
126,2021-05-07,422419.1900000003,,,,,,,,,,
127,2021-05-08,956877.88,,,,,,,,,,
128,2021-05-09,870009.3900000004,,,,,,,,,,
129,2021-05-10,260073.58000000005,,,,,,,,,,
130,2021-05-11,307585.78,,,,,,,,,,
131,2021-05-12,254365.04000000004,,,,,,,,,,
132,2021-05-13,264418.28,,,,,,,,,,
133,2021-05-14,411817.55,,,,,,,,,,
134,2021-05-15,843937.8699999999,,,,,,,,,,
135,2021-05-16,799764.5000000001,,,,,,,,,,
136,2021-05-17,263826.3999999998,,,,,,,,,,
137,2021-05-18,275690.27,,,,,,,,,,
138,2021-05-19,327352.85000000003,,,,,,,,,,
139,2021-05-20,350952.0299999998,,,,,,,,,,
140,2021-05-21,497991.01,,,,,,,,,,
141,2021-05-22,785898.5399999996,,,,,,,,,,
142,2021-05-23,746525.97,,,,,,,,,,
143,2021-05-24,258404.94999999995,,,,,,,,,,
144,2021-05-25,287097.6,,,,,,,,,,
145,2021-05-26,309574.3199999999,,,,,,,,,,
146,2021-05-27,335514.31999999983,,,,,,,,,,
147,2021-05-28,512296.63,,,,,,,,,,
148,2021-05-29,936129.5599999996,,,,,,,,,,
149,2021-05-30,736833.0599999997,,,,,,,,,,
150,2021-05-31,256633.35000000003,,,,,,,,,,
151,2021-06-01,322128.86,,,,,,,,,,
152,2021-06-02,407914.02,,,,,,,,,,
153,2021-06-03,797499.5399999999,,,,,,,,,,
154,2021-06-04,622770.71,,,,,,,,,,
155,2021-06-05,947528.9600000004,,,,,,,,,,
156,2021-06-06,856690.2100000001,,,,,,,,,,
157,2021-06-07,256269.23,,,,,,,,,,
158,2021-06-08,283292.1099999999,,,,,,,,,,
159,2021-06-09,362684.75999999983,,,,,,,,,,
160,2021-06-10,338419.77,,,,,,,,,,
161,2021-06-11,459282.2600000002,,,,,,,,,,
162,2021-06-12,1037689.9599999996,,,,,,,,,,
163,2021-06-13,767019.6199999999,,,,,,,,,,
164,2021-06-14,266997.92,,,,,,,,,,
165,2021-06-15,310697.52,,,,,,,,,,
166,2021-06-16,297249.3099999998,,,,,,,,,,
167,2021-06-17,293836.92000000004,,,,,,,,,,
