,Faturamento Total,Dia
173,0.0,2021-10-05
174,0.0,2021-10-06
175,405341.0099999997,2021-10-07
176,671816.9,2021-10-08
177,1009849.8799999997,2021-10-09
178,944978.16,2021-10-10
179,829812.3899999995,2021-10-11
180,1240008.0300000005,2021-10-12
181,440960.4599999999,2021-10-13
182,484833.7099999999,2021-10-14
183,708917.0100000004,2021-10-15
184,1092433.5299999996,2021-10-16
185,954526.98,2021-10-17
186,290788.5899999999,2021-10-18
187,293807.48000000004,2021-10-19
188,332256.31999999995,2021-10-20
189,424611.4099999997,2021-10-21
190,675316.33,2021-10-22
191,1301002.4,2021-10-23
192,944790.68,2021-10-24
193,342183.7800000001,2021-10-25
194,455164.7299999998,2021-10-26
195,451364.4699999997,2021-10-27
196,504187.13999999984,2021-10-28
197,678384.3599999998,2021-10-29
198,1160452.5199999998,2021-10-30
199,972095.6400000004,2021-10-31
