,Faturamento Total,Dia,Impressoes,Cliques,CTR,CPC,CPM,Custo
55,856690.2100000001,2021-06-06,127659.0,2287.0,29.806813,2.585537,241.33246499999998,1911.6
56,256269.23,2021-06-07,69657.0,1429.0,27.972165,2.70162,240.80399200000002,1247.82
57,283292.1099999999,2021-06-08,100799.0,1636.0,25.282631,3.112551,256.88527899999997,1604.54
58,362684.75999999983,2021-06-09,85801.0,1671.0,27.596169,3.312033,257.751678,1894.68
59,338419.77,2021-06-10,85095.0,1584.0,31.860875,2.964674,180.33398,1666.83
60,459282.2600000002,2021-06-11,58594.0,876.0,32.616184000000004,3.3628850000000003,282.64589,1874.8000000000002
61,1037689.9599999996,2021-06-12,94443.0,1589.0,25.329613000000002,3.607838,301.03315699999996,1923.65
62,767019.6199999999,2021-06-13,104025.0,1410.0,35.978429,2.478183,212.272857,2059.12
63,266997.92,2021-06-14,73903.0,1300.0,25.632778,3.7620409999999995,353.24277900000004,1583.2799999999997
64,310697.52,2021-06-15,88711.0,1760.0,20.740234,3.6240499999999995,258.884608,2037.26
65,297249.3099999998,2021-06-16,64166.0,1110.0,29.736841,3.2552570000000003,243.13960699999998,1313.3400000000001
66,293836.92000000004,2021-06-17,74063.0,1590.0,21.670931000000003,3.528645,252.347278,1789.09
67,435296.31,2021-06-18,1002077.0,1236.0,30.781760999999996,2.968395,210.569371,1335.81
68,801429.9199999999,2021-06-19,82742.0,1542.0,31.489328999999998,2.414822,155.36025800000002,1425.0300000000002
69,834655.0200000005,2021-06-20,89321.0,1857.0,28.310347000000004,3.2272879999999997,312.771306,1858.31
70,261276.8399999999,2021-06-21,95150.0,1595.0,27.198333,2.891085,222.251453,1411.6599999999999
71,265071.13,2021-06-22,1082539.0,1295.0,27.408140000000003,2.768022,178.704903,1242.16
72,281332.7199999999,2021-06-23,56765.0,1055.0,21.790638,2.5708070000000003,208.080127,898.5999999999999
73,368232.31,2021-06-24,65507.0,1131.0,31.433973,2.1539010000000003,189.98938900000002,825.79
74,486033.03,2021-06-25,70818.0,1261.0,27.248939,2.832605,246.70773599999998,1204.4099999999999
75,977737.8299999996,2021-06-26,77431.0,1513.0,32.78077,2.332964,223.45460400000002,1201.7
76,964832.8299999998,2021-06-27,89182.0,1748.0,22.932401,2.735979,237.55853000000002,1725.6100000000001
77,295133.6199999999,2021-06-28,82827.0,1093.0,26.028752,2.638384,234.645919,1033.98
78,237097.6,2021-06-29,75354.0,922.0,18.480615999999998,3.2805720000000003,210.752945,1069.2
79,264940.98999999993,2021-06-30,63769.0,1141.0,26.728543,2.783333,220.906826,1095.88
80,335761.59,2021-07-01,32776.0,601.0,26.255581,2.558541,137.348559,463.64
81,478534.2600000002,2021-07-02,46769.0,693.0,28.642813,3.570959,262.50629100000003,832.51
82,893682.01,2021-07-03,67565.0,866.0,34.917353000000006,2.873065,180.96816199999998,901.64
83,811735.9700000004,2021-07-04,67979.0,547.0,36.098303,2.660694,180.062775,1177.19
84,325497.8700000002,2021-07-05,36672.0,733.0,28.247542,2.557935,153.410107,553.31
85,347349.84,2021-07-06,27135.0,531.0,27.540318,2.456585,137.14562700000002,402.25
86,374366.9800000001,2021-07-07,30425.0,948.0,31.323248,3.0788019999999996,232.07615900000002,876.9199999999998
87,445531.3400000001,2021-07-08,65481.0,855.0,29.080956,3.3683880000000004,267.88924399999996,1042.1100000000001
88,761983.4399999992,2021-07-09,49377.0,819.0,36.446844999999996,2.6088459999999998,121.376085,681.52
89,935242.65,2021-07-10,37989.0,1056.0,33.960838,2.9320370000000002,216.242749,895.11
90,903683.2700000004,2021-07-11,51104.0,750.0,28.348868999999997,2.1521090000000003,109.051559,581.64
91,390695.7100000001,2021-07-12,30879.0,1023.0,32.415516,2.324,194.052754,678.48
92,430141.9199999998,2021-07-13,46132.0,1288.0,32.667451,2.638756,208.88863499999997,960.52
93,466979.9199999999,2021-07-14,26560.0,972.0,29.46613,3.484615,285.976937,1114.21
94,516222.1300000001,2021-07-15,33461.0,285.0,35.793351,2.565597,172.669677,948.63
95,570478.7600000001,2021-07-16,36652.0,612.0,29.157173999999998,2.739855,129.697925,558.0799999999999
96,979512.3,2021-07-17,947116.0,777.0,34.332138,2.40238,105.39960699999999,763.54
97,962008.21,2021-07-18,71172.0,830.0,35.094059,2.7904299999999997,196.078406,853.98
98,722806.8199999998,2021-07-19,49503.0,1255.0,33.70685,2.970045,173.050052,903.99
99,1486958.5600000003,2021-07-20,65574.0,554.0,18.530713000000002,4.078477,160.01466,869.59
100,407718.03,2021-07-21,63530.0,971.0,29.525534,3.9566929999999996,229.616182,1165.9499999999998
101,439917.6699999999,2021-07-22,37650.0,672.0,29.511881000000002,3.4385380000000003,222.38291400000003,651.0699999999999
102,554918.2899999999,2021-07-23,42323.0,494.0,29.184541,3.030621,107.96508200000001,452.27
103,971147.9700000002,2021-07-24,67836.0,873.0,29.627343000000003,3.552877,249.53282,1054.71
104,970072.3,2021-07-25,68928.0,1004.0,29.49212,3.50822,232.936277,1104.87
105,428392.8099999999,2021-07-26,32080.0,944.0,28.475831000000003,3.283125,205.90012199999998,823.97
106,459270.9199999999,2021-07-27,782541.0,425.0,30.182635000000005,2.468099,93.010707,346.26
107,298983.05,2021-07-28,36387.0,242.0,29.189323,3.686069,222.66419599999998,1143.53
108,322393.13,2021-07-29,51902.0,712.0,27.330696,3.621325,181.17812199999997,876.22
109,407494.37,2021-07-30,28608.0,826.0,30.035514000000003,3.6855219999999997,227.16963400000003,808.18
110,791293.7800000001,2021-07-31,57881.0,560.0,21.76677,4.834531,276.576118,983.08
111,310801.16,2021-08-02,68675.0,793.0,34.784486,3.151814,146.22961200000003,701.71
112,286408.84,2021-08-03,463020.0,316.0,27.120769999999997,2.710855,136.225374,302.49
113,319227.18999999994,2021-08-04,50085.0,837.0,28.304095,3.3544300000000002,293.37039400000003,954.2800000000001
114,375789.1700000001,2021-08-05,58678.0,660.0,28.562663999999998,2.6234830000000002,113.916663,700.03
115,571259.1799999998,2021-08-06,54946.0,656.0,31.249688,3.042204,167.822942,757.47
116,1051389.4399999997,2021-08-07,57050.0,1079.0,28.346721000000002,3.207568,206.766508,1129.9
117,963533.22,2021-08-08,74277.0,1000.0,31.574163999999996,2.7697279999999997,208.283122,977.81
118,336472.2899999999,2021-08-09,74474.0,1045.0,22.765651999999996,2.987317,172.465366,1125.1599999999999
119,400217.04000000015,2021-08-10,69111.0,1332.0,34.212331999999996,3.1015569999999997,255.184378,1278.46
120,336462.3800000001,2021-08-11,43274.0,809.0,31.756557,2.624177,138.476392,630.27
121,330204.6000000001,2021-08-12,57575.0,966.0,19.385414,3.8293980000000003,197.90309100000002,1170.67
122,436126.20000000007,2021-08-13,78331.0,1299.0,30.681497,3.374097,212.47118500000002,1324.21
123,956668.8899999995,2021-08-14,1047230.0,1241.0,33.498542,3.124102,165.119982,1873.45
124,1014892.98,2021-08-15,192621.0,1648.0,33.443605999999996,3.460624,291.804535,2222.9
125,294181.2900000001,2021-08-16,70872.0,1317.0,31.720857999999996,3.2835,282.119132,1357.58
126,400557.78000000014,2021-08-17,109024.0,884.0,19.941734999999998,3.8377559999999997,229.53589499999998,1221.99
127,460686.36,2021-08-18,64819.0,1045.0,29.709141,3.035806,198.710528,1044.74
128,502754.53,2021-08-19,73930.0,1394.0,35.266489,3.334488,286.530475,1494.03
129,672085.0100000001,2021-08-20,77755.0,858.0,29.791225999999998,2.837757,104.293398,957.0
130,1160131.64,2021-08-21,138077.0,1222.0,28.293702000000003,2.654259,94.492446,1589.55
131,1121960.9199999997,2021-08-22,156446.0,1531.0,28.619979,2.287057,87.75848,1571.0700000000002
132,402804.87,2021-08-23,52463.0,1042.0,32.368851,2.852061,214.88725300000002,907.49
133,434270.63,2021-08-24,805751.0,797.0,31.383173999999997,2.456038,96.088076,818.5500000000001
134,507949.9699999996,2021-08-25,59911.0,1267.0,27.98104,3.2565939999999998,181.79832299999998,1143.2
135,519867.9500000001,2021-08-26,57306.0,901.0,37.172067,3.3093449999999995,141.79754499999999,820.32
136,500115.36999999976,2021-08-27,70313.0,864.0,27.510435,3.003737,186.18790199999998,932.35
137,939375.2900000002,2021-08-28,1021517.0,1065.0,28.672638,2.915364,136.926598,1372.78
138,917821.0,2021-08-29,956391.0,1100.0,31.981493999999998,2.658882,122.287636,1318.1999999999998
139,327125.2500000001,2021-08-30,88826.0,1233.0,30.349641000000002,3.3844900000000004,269.258425,1487.41
140,410276.7,2021-08-31,70103.0,736.0,28.531203,2.817548,117.177054,786.4499999999999
141,446880.1499999997,2021-09-01,132969.0,1779.0,28.244231000000003,2.397975,193.961309,1424.27
142,495261.71,2021-09-02,1019666.0,1644.0,32.370791999999994,1.993617,132.886225,1332.46
143,699783.2699999998,2021-09-03,93319.0,1176.0,33.814752000000006,2.1112070000000003,176.930609,1691.96
144,1140939.98,2021-09-04,77038.0,1410.0,20.871765999999997,2.741477,188.601775,1300.04
145,1137429.3,2021-09-05,91734.0,1715.0,32.476848000000004,2.365551,271.015183,1368.5
146,825125.3000000002,2021-09-06,101641.0,1543.0,36.122654,1.628442,116.57668600000001,925.51
147,1047161.0000000003,2021-09-07,157414.0,1908.0,31.766705,1.951155,197.40835299999998,1312.0
148,381315.0699999998,2021-09-08,732667.0,1416.0,31.772603999999998,1.7364199999999999,66.922364,1315.4499999999998
149,393938.4199999999,2021-09-09,165763.0,1840.0,32.530798000000004,2.454745,186.065862,1809.89
150,566876.25,2021-09-10,114411.0,1499.0,28.244802000000004,1.951071,100.520969,1316.37
151,1187799.71,2021-09-11,190674.0,2626.0,21.730919,2.8275259999999998,186.460806,2817.19
152,1195119.8600000003,2021-09-12,215020.0,2904.0,35.999418000000006,1.679497,120.301858,2176.75
153,439545.3499999999,2021-09-13,152519.0,2123.0,33.793194,2.0473299999999997,150.249743,1678.75
154,469600.66999999975,2021-09-14,205087.0,2039.0,29.470357,1.950534,96.843681,2148.68
155,384463.96,2021-09-15,129282.0,1988.0,31.864201,2.727956,219.598299,2059.0299999999997
156,401029.09,2021-09-16,190913.0,1835.0,17.355668,4.07761,216.79418199999998,2784.75
157,597481.63,2021-09-17,274591.0,1364.0,33.91213,3.2712519999999996,228.565227,2127.89
158,1248857.33,2021-09-18,221399.0,2323.0,26.87995,2.8164290000000003,194.497525,2752.37
159,1208268.2599999998,2021-09-19,263309.0,2715.0,31.232772,2.088094,153.17341700000003,2439.27
160,501139.9199999999,2021-09-20,467509.0,2681.0,30.495193999999998,6.3165819999999995,185.11963599999999,3934.52
161,413758.72,2021-09-21,534348.0,2670.0,28.570683999999996,4.987549,111.546075,4203.29
162,358908.99999999994,2021-09-22,501821.0,2650.0,27.370497999999998,4.779877000000001,105.296213,4081.72
163,470941.3300000001,2021-09-23,443940.0,2172.0,32.965657,5.721364,136.437578,3669.7699999999995
164,661508.2799999999,2021-09-24,474435.0,2633.0,29.123431,5.898199999999999,193.760533,4370.07
165,1058489.21,2021-09-25,502575.0,2641.0,25.559078000000003,5.776823,135.08066200000002,4475.64
166,1193315.8999999994,2021-09-26,556667.0,3124.0,30.856143000000003,5.795124,197.652307,4813.46
167,459806.9099999999,2021-09-27,176713.0,1756.0,29.819713999999998,3.194088,271.080048,2219.88
168,515429.0999999998,2021-09-28,241548.0,2000.0,30.040578999999997,2.314236,93.584476,2446.8700000000003
169,471204.31999999983,2021-09-29,1218213.0,2071.0,33.303303,2.192084,59.804595000000006,2492.7799999999997
170,508691.3499999997,2021-09-30,1175783.0,2220.0,28.455858,2.424525,148.573601,2522.3399999999997
171,603035.4099999997,2021-10-01,296139.0,3155.0,32.516881,3.194479,350.301603,3807.99
172,0.0,2021-10-04,208001.0,1772.0,26.062285,2.562042,152.353433,1933.04
173,0.0,2021-10-05,303516.0,3292.0,32.036948,3.621801,192.67508800000002,3242.7
174,0.0,2021-10-06,287267.0,3178.0,31.943139000000002,4.222228,300.76919599999997,3509.82
175,405341.0099999997,2021-10-07,1125111.0,2399.0,30.704263,3.9194340000000003,163.553029,3019.6299999999997
176,671816.9,2021-10-08,208983.0,2018.0,27.514567,4.230618,161.804117,2523.54
177,1009849.8799999997,2021-10-09,1263316.0,2956.0,35.563619,3.926687,175.768174,3542.36
178,944978.16,2021-10-10,334307.0,3685.0,36.667459,4.257796,324.303697,3984.44
179,829812.3899999995,2021-10-11,316621.0,2549.0,30.729589999999998,4.3561879999999995,156.113205,3169.11
180,1240008.0300000005,2021-10-12,395351.0,3632.0,33.849213999999996,4.213892,302.283525,4214.82
181,440960.4599999999,2021-10-13,239174.0,1573.0,27.634269,5.808985,212.231856,2439.65
