"Início dos relatórios","Término dos relatórios","Nome da campanha",Alcance,Impressões,"Valor gasto (BRL)","CTR (taxa de cliques no link)","Cliques no link",Frequência
2021-09-26,2021-09-26,2021_geral_topo_engaj_aon_engaj_tipo-p,108766,109872,679.26,0.100116,110,1.010169
2021-09-25,2021-09-25,conv_lp_semana_do_gelato,368942,435412,6678.31,1.052796,4584,1.180164
2021-09-25,2021-09-25,rec_topo_int_regioes_casquinha,82282,89937,228.14,0.128979,116,1.093034
2021-09-25,2021-09-25,2021_perf_fundo_wp_aon_msg_chat_tipo-p,5642,6047,145.19,1.289896,78,1.071783
2021-09-25,2021-09-25,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,607967,634920,1518.92,0.116393,739,1.044333
2021-09-25,2021-09-25,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1031874,1142881,2749.15,0.095023,1086,1.107578
2021-09-25,2021-09-25,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,767314,800880,1204.02,0.074418,596,1.043745
2021-09-25,2021-09-25,2021_perf_meio_mkt-places-delivery_aon_conv_lead,158892,169200,1961.14,0.679078,1149,1.064874
2021-09-25,2021-09-25,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,140023,193600,3380.96,0.682335,1321,1.38263
2021-09-25,2021-09-25,2021_geral_topo_engaj_aon_engaj_tipo-p,99350,103491,783.03,0.126581,131,1.041681
2021-09-24,2021-09-24,conv_lp_semana_do_gelato,545396,644066,9192.42,0.961858,6195,1.180914
2021-09-24,2021-09-24,rec_topo_int_regioes_casquinha,89648,96260,241.81,0.110118,106,1.073755
2021-09-24,2021-09-24,2021_perf_fundo_wp_aon_msg_chat_tipo-p,2642,2860,48.92,1.188811,34,1.082513
2021-09-24,2021-09-24,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,533502,558618,1343.59,0.101859,569,1.047078
2021-09-24,2021-09-24,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,928755,1028477,2439.87,0.0913,939,1.107372
2021-09-24,2021-09-24,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,774130,825215,1256.69,0.071739,592,1.06599
2021-09-24,2021-09-24,2021_perf_meio_mkt-places-delivery_aon_conv_lead,143068,154147,1728.07,0.623431,961,1.077439
