"Início dos relatórios","Término dos relatórios","Nome da campanha",Alcance,Impressões,"Valor gasto (BRL)","CTR (taxa de cliques no link)","Cliques no link",Frequência
2021-09-06,2021-09-06,2021_geral_topo_engaj_aon_engaj_tipo-p,66043,69384,383.15,0.122507,85,1.050588
2021-09-05,2021-09-05,rec_topo_int_regioes_casquinha,93951,104141,174.46,0.118109,123,1.108461
2021-09-05,2021-09-05,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,886510,940807,1032.68,0.099064,932,1.061248
2021-09-05,2021-09-05,2021_perf_meio_mkt-places-delivery_aon_conv_lead,80973,84471,576.53,0.816848,690,1.0432
2021-09-05,2021-09-05,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,75438,91956,864.52,0.93088,856,1.218961
2021-09-05,2021-09-05,2021_geral_topo_engaj_aon_engaj_tipo-p,75903,80381,508.19,0.154265,124,1.058996
2021-09-04,2021-09-04,rec_topo_int_regioes_casquinha,88714,96593,182.91,0.119056,115,1.088813
2021-09-04,2021-09-04,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,834376,883925,1117.47,0.08779,776,1.059384
2021-09-04,2021-09-04,2021_perf_meio_mkt-places-delivery_aon_conv_lead,64750,69667,630.61,0.971766,677,1.075938
2021-09-04,2021-09-04,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,66936,81222,964.52,0.939401,763,1.213428
2021-09-04,2021-09-04,2021_geral_topo_engaj_aon_engaj_tipo-p,72602,77148,553.06,0.194431,150,1.062615
2021-09-03,2021-09-03,rec_topo_int_regioes_casquinha,94202,105722,183.57,0.114451,121,1.12229
2021-09-03,2021-09-03,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,820450,861899,1091.22,0.079592,686,1.05052
2021-09-03,2021-09-03,2021_perf_meio_mkt-places-delivery_aon_conv_lead,79817,84812,921.11,1.084752,920,1.062581
2021-09-03,2021-09-03,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,49823,62498,895.79,1.092835,683,1.254401
2021-09-03,2021-09-03,2021_geral_topo_engaj_aon_engaj_tipo-p,63598,67423,483.97,0.151284,102,1.060143
2021-09-02,2021-09-02,rec_topo_int_regioes_casquinha,97678,105147,180.02,0.10842,114,1.076466
2021-09-02,2021-09-02,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,938225,978599,989.65,0.06448,631,1.043032
2021-09-02,2021-09-02,2021_perf_meio_mkt-places-delivery_aon_conv_lead,103101,108031,1072.34,1.110792,1200,1.047817
2021-09-02,2021-09-02,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,58064,70955,915.26,1.085195,770,1.222014
2021-09-02,2021-09-02,2021_geral_topo_engaj_aon_engaj_tipo-p,41551,43996,314.01,0.159105,70,1.058843
2021-09-01,2021-09-01,rec_topo_int_regioes_casquinha,99198,115291,181.11,0.101482,117,1.162231
2021-09-01,2021-09-01,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,1128142,1200307,965.82,0.054653,656,1.063968
2021-09-01,2021-09-01,2021_perf_meio_mkt-places-delivery_aon_conv_lead,121021,127975,959.98,0.864231,1106,1.057461
2021-09-01,2021-09-01,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,55404,65385,850.28,1.095052,716,1.180149
2021-09-01,2021-09-01,2021_geral_topo_engaj_aon_engaj_tipo-p,64847,68460,324.32,0.143149,98,1.055716
